,DIE LINKE,GRÜNE,SPD,CDU,CSU,FDP,AfD
DIE LINKE,1.0000000000000109,0.9315883900564101,0.8747610307784909,0.8462489575910043,0.8000143629804622,0.8431912712076085,0.6772474071551567
GRÜNE,0.9315883900564101,0.9999999999999986,0.9101745530688152,0.8903486589165477,0.8582589799573064,0.8741998905914132,0.6648095307892234
SPD,0.8747610307784909,0.9101745530688152,0.9999999999999878,0.9009948190714198,0.8386061295177984,0.8220358449069873,0.633728298489841
CDU,0.8462489575910043,0.8903486589165477,0.9009948190714198,0.9999999999999974,0.8431215378894682,0.8050562760542018,0.6462162686892684
CSU,0.8000143629804622,0.8582589799573064,0.8386061295177984,0.8431215378894682,1.0000000000000064,0.7722210663753676,0.5886569406487961
FDP,0.8431912712076085,0.8741998905914132,0.8220358449069873,0.8050562760542018,0.7722210663753676,1.0000000000000075,0.6330356643879426
AfD,0.6772474071551567,0.6648095307892234,0.633728298489841,0.6462162686892684,0.5886569406487961,0.6330356643879426,0.9999999999999964
